"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","ENABLE","DATA","CLK"
3177,20000,0,0,0,0,0,1,1,0
3178,20000,0,0,0,0,0,1,1,1
3180,20000,0,0,0,0,0,1,1,0
3181,20000,0,0,0,0,0,1,1,1
3182,20000,0,0,0,0,0,1,0,1
3183,20000,0,0,0,0,0,1,0,0
3184,20000,0,0,0,0,0,1,0,1
3185,20000,0,0,0,0,0,1,1,0
3187,20000,0,0,0,0,0,1,1,1
3188,20000,0,0,0,0,0,1,1,0
3189,20000,0,0,0,0,0,1,1,1
3190,20000,0,0,0,0,0,1,0,0
3192,20000,0,0,0,0,0,1,0,1
3193,20000,0,0,0,0,0,1,0,0
3194,20000,0,0,0,0,0,1,0,1
3195,20000,0,0,0,0,0,1,1,1
3196,20000,0,0,0,0,0,1,1,0
3197,20000,0,0,0,0,0,1,1,1
3198,20000,0,0,0,0,0,1,0,0
3200,20000,0,0,0,0,0,1,0,1
3203,20000,0,0,0,0,0,1,1,1
3204,20000,0,0,0,0,0,1,1,0
3205,20000,0,0,0,0,0,1,1,1
3206,20000,0,0,0,0,0,1,1,0
3207,20000,0,0,0,0,0,1,1,1
3208,20000,0,0,0,0,0,1,0,1
3209,20000,0,0,0,0,0,1,0,0
3210,20000,0,0,0,0,0,1,0,1
3211,20000,0,0,0,0,0,1,0,0
3213,20000,0,0,0,0,0,1,1,1
3214,20000,0,0,0,0,0,1,1,0
3215,20000,0,0,0,0,0,1,1,1
3216,20000,0,0,0,0,0,1,1,0
3218,20000,0,0,0,0,0,1,1,1
3219,20000,0,0,0,0,0,1,1,0
3220,20000,0,0,0,0,0,1,1,1
3221,20000,0,0,0,0,0,1,0,1
3222,20000,0,0,0,0,0,1,0,0
3223,20000,0,0,0,0,0,1,0,1
3224,20000,0,0,0,0,0,1,1,1
3225,20000,0,0,0,0,0,1,1,0
3226,20000,0,0,0,0,0,1,1,1
3227,20000,0,0,0,0,0,1,1,0
3228,20000,0,0,0,0,0,1,1,1
3229,20000,0,0,0,0,0,1,0,1
3230,20000,0,0,0,0,0,1,0,0
3231,20000,0,0,0,0,0,1,0,1
3232,20000,0,0,0,0,0,1,1,0
3234,20000,0,0,0,0,0,1,0,1
3235,20000,0,0,0,0,0,1,0,0
3236,20000,0,0,0,0,0,1,0,1
3237,20000,0,0,0,0,0,1,0,0
3239,20000,0,0,0,0,0,1,1,1
3240,20000,0,0,0,0,0,1,1,0
3241,20000,0,0,0,0,0,1,1,1
3242,20000,0,0,0,0,0,1,0,1
3243,20000,0,0,0,0,0,1,0,0
3244,20000,0,0,0,0,0,1,0,1
3245,20000,0,0,0,0,0,1,1,1
3246,20000,0,0,0,0,0,1,1,0
3247,20000,0,0,0,0,0,1,1,1
3248,20000,0,0,0,0,0,1,1,0
3249,20000,0,0,0,0,0,1,1,1
3250,20000,0,0,0,0,0,1,0,1
3251,20000,0,0,0,0,0,1,0,0
3252,20000,0,0,0,0,0,1,0,1
3253,20000,0,0,0,0,0,1,0,0
3255,20000,0,0,0,0,0,1,1,1
3256,20000,0,0,0,0,0,1,1,0
3257,20000,0,0,0,0,0,1,1,1
3259,20000,0,0,0,0,0,1,1,0
3260,20000,0,0,0,0,0,1,1,1
3261,20000,0,0,0,0,0,1,1,0
3262,20000,0,0,0,0,0,1,1,1
3263,20000,0,0,0,0,0,1,0,1
3264,20000,0,0,0,0,0,1,0,0
3265,20000,0,0,0,0,0,1,0,1
3266,20000,0,0,0,0,0,1,1,1
3267,20000,0,0,0,0,0,1,1,0
3268,20000,0,0,0,0,0,1,1,1
3269,20000,0,0,0,0,0,1,1,0
3271,20000,0,0,0,0,0,1,0,1
3272,20000,0,0,0,0,0,1,0,0
3273,20000,0,0,0,0,0,1,0,1
3274,20000,0,0,0,0,0,1,1,0
3276,20000,0,0,0,0,0,1,1,1
3277,20000,0,0,0,0,0,1,1,0
3278,20000,0,0,0,0,0,1,1,1
